energy_eV,pdf_eV-1
1.000000e+00,2.965580e-03
1.584893e+00,2.965580e-03
2.511886e+00,1.482790e-03
3.981072e+00,1.037953e-03
6.309573e+00,7.413950e-04
1.000000e+01,4.448370e-04
1.584893e+01,2.965580e-04
2.511886e+01,2.965580e-04
3.981072e+01,1.334511e-04
6.309573e+01,8.896741e-05
1.000000e+02,5.931160e-05
1.584893e+02,2.965580e-05
2.511886e+02,2.965580e-05
3.981072e+02,1.482790e-05
6.309573e+02,1.037953e-05
1.000000e+03,5.931160e-06
1.584893e+03,4.448370e-06
2.511886e+03,2.965580e-06
3.981072e+03,1.482790e-06
6.309573e+03,1.334511e-06
1.000000e+04,1.037953e-06
1.584893e+04,7.413950e-07
2.511886e+04,5.931160e-07
3.981072e+04,4.448370e-07
6.309573e+04,4.448370e-07
1.000000e+05,2.965580e-07
1.584893e+05,2.965580e-07
2.511886e+05,1.482790e-07
3.981072e+05,1.482790e-07
6.309573e+05,1.482790e-07
1.000000e+06,1.186232e-07
1.584893e+06,7.413950e-08
2.511886e+06,5.931160e-08
3.981072e+06,2.965580e-08
6.309573e+06,1.482790e-08
1.000000e+07,1.334511e-08
1.584893e+07,7.413950e-09
2.511886e+07,5.931160e-09
3.981072e+07,4.448370e-09
6.309573e+07,2.965580e-09
1.000000e+08,1.334511e-09
1.584893e+08,4.448370e-10
2.511886e+08,1.482790e-10
3.981072e+08,4.448370e-11
6.309573e+08,1.334511e-11
1.000000e+09,4.448370e-12
1.584893e+09,1.186232e-12
2.511886e+09,2.965580e-13
3.981072e+09,2.965580e-14
6.309573e+09,2.965580e-15
1.000000e+10,4.448370e-16
